,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,41260,35938,9175,19663,14193,334,14384,16826,11033,392,7605,2109,4112,4033,5441,5024,10895,10902,3446,2775,7142,8146,1467,3452,8412,8150,8409,4405,2245
1,9175,9173,19565,8466,8462,19428,8456,8464,8464,8426,8425,8425,8425,8453,8456,8412,8412,8411,8455,8455,8455,8419,8424,8412,1624,8412,2543,8431,8407
2,0,5324,16572,16300,19270,15126,3860,13435,13070,13316,2117,8420,3484,8067,8153,10893,8164,8024,7225,10883,10934,4351,10826,4475,3498,1463,541,10839,10800
3,0,0,5123,5297,6165,8435,1519,1523,994,706,8917,974,5013,1093,853,302,196,683,459,136,706,1210,3475,913,2949,130,99,461,16
4,0,0,0,709,1636,3090,706,709,1701,1403,476,1109,339,706,706,6448,465,3528,706,706,644,7405,503,462,72,922,461,487,461
5,0,0,0,0,709,3544,3900,849,8274,2221,706,706,706,450,966,8162,6438,461,5671,9710,9360,232,196,285,461,461,1560,587,3890
6,0,0,0,0,0,478,1133,1057,709,5610,4508,1678,1331,525,341,315,849,311,120,7260,960,259,706,540,1467,4066,111,222,5161
7,0,0,0,0,0,0,16477,2118,1155,3034,1272,8399,2000,2075,440,465,1260,152,2524,3399,110,461,180,4901,224,620,4887,5365,2002
8,0,0,0,0,0,0,0,5454,552,1337,1937,5863,8654,2076,344,1797,1806,301,2199,807,2048,513,8484,1273,507,1417,5063,194,431
9,0,0,0,0,0,0,0,0,4483,13618,976,1354,635,10894,201,763,1070,1264,276,172,420,1306,2529,2230,5364,3691,73,1314,623
10,0,0,0,0,0,0,0,0,0,372,3889,10907,5785,403,5007,989,256,247,1253,90,3521,34,328,4551,1942,172,1872,1340,141
11,0,0,0,0,0,0,0,0,0,0,9607,123,718,639,1090,1281,4920,398,876,663,1030,264,1446,229,98,4405,39,2905,36
12,0,0,0,0,0,0,0,0,0,0,0,368,1081,2276,2237,167,1004,4891,1232,392,911,2554,464,82,8270,7384,3054,28,177
13,0,0,0,0,0,0,0,0,0,0,0,0,8152,170,11980,1101,3556,1272,4870,152,412,830,327,535,1078,61,363,304,4403
14,0,0,0,0,0,0,0,0,0,0,0,0,0,8575,3325,434,315,1245,862,227,26,453,253,2343,193,36,1319,36,1196
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,338,394,6048,175,549,879,164,65,453,4293,288,235,4130,73
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,329,336,8149,1384,361,106,1035,889,579,33,130,139,439
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1212,351,818,1606,117,5471,201,525,875,162,23,72
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,1163,1335,664,8264,245,3876,315,565,6821,2116,1584
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,386,22,933,362,76,49,1849,8246,317,541
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,190,2049,901,1364,1942,1828,483,1301,2399
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,580,65,325,5688,19,343,316,14
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,1585,112,245,108,1617,1463,325
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,8141,220,2490,173,821,280
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,317,182,325,488,135
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,483,355,1063,468
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,194,321,991
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,913,108
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1815
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202
