,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,9174,14303,13781,8463,8463,9132,8425,8425,8454,8424,8454,8424,8453,8454,8424,8412,8411,8423,8450,8424,8407,8454,8407,8427,8427,8407,8407,8427,8407
1,18851,9170,9170,8083,7641,7611,7611,7737,5664,5134,5806,6004,5036,5776,5432,5541,4825,4611,4610,4827,4606,4470,3054,4850,4610,2947,2912,3046,4159
2,0,4552,2868,7824,6702,6010,6010,4826,5485,4703,4967,4652,4065,4964,4902,2950,2615,3049,3050,2781,2947,2700,2517,2934,2942,2513,2485,2499,2949
3,0,0,2206,2946,2990,2445,2447,2541,2440,3053,2445,3073,2164,2435,2335,2874,2457,2187,2529,2492,2508,2428,2318,2093,2248,2318,2318,2318,2248
4,0,0,0,709,1520,1512,1512,1856,1919,1922,1336,1536,2161,1200,1653,1594,1789,1846,2141,2418,2133,1588,2210,1609,2156,2172,2162,2208,1801
5,0,0,0,0,709,930,930,1306,1143,1842,1124,882,1920,1164,1106,1244,1586,1591,1583,1191,1583,1206,1923,1330,1236,1891,1900,1931,1581
6,0,0,0,0,0,385,706,706,1043,748,1119,805,1203,1036,706,1103,1473,1232,1486,1187,1093,1053,1783,967,1186,1785,1548,1742,986
7,0,0,0,0,0,0,384,476,1001,706,787,706,818,706,620,890,1254,1227,776,944,743,839,1060,944,946,1179,983,966,812
8,0,0,0,0,0,0,0,152,709,669,709,655,706,593,574,649,648,1064,706,822,546,836,722,812,716,618,673,889,666
9,0,0,0,0,0,0,0,0,167,632,677,614,552,573,487,607,525,706,541,706,529,706,556,775,467,509,591,462,649
10,0,0,0,0,0,0,0,0,0,192,401,241,508,502,473,461,461,478,540,444,517,665,524,471,462,475,467,461,533
11,0,0,0,0,0,0,0,0,0,0,200,231,237,299,422,416,437,407,320,304,473,603,508,461,432,461,462,460,472
12,0,0,0,0,0,0,0,0,0,0,0,202,105,156,304,355,359,386,293,299,461,584,461,337,373,401,452,416,461
13,0,0,0,0,0,0,0,0,0,0,0,0,97,104,299,331,315,238,282,245,315,507,416,300,337,359,425,321,330
14,0,0,0,0,0,0,0,0,0,0,0,0,0,63,148,315,300,190,246,233,285,299,325,291,256,348,412,297,325
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,161,202,186,203,208,279,277,304,266,252,315,348,279,254
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,185,119,116,181,243,223,299,228,238,257,325,241,247
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,66,111,156,138,139,133,186,130,254,238,218,194
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,111,120,136,118,167,107,170,220,151,123
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,50,111,99,153,89,159,164,148,114
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,105,89,107,87,119,151,111,110
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,79,85,99,86,103,131,89,106
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,62,79,81,89,81,87,94
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,78,59,66,61,81,92
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,53,55,48,59,90
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,34,58,55
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,36,54
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,52
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
