,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,18127,11519,11519,11483,11464,10430,10337,9416,8998,9166,8781,9158,8781,8777,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569,8569
1,9898,9558,9079,8840,8818,8818,8840,8789,8818,8791,8466,8781,5483,5482,5487,5469,5482,5277,5396,5388,5246,5147,5157,5180,5369,5154,5181,5146,5151
2,0,6948,6947,6381,5764,5526,3465,3454,3076,3255,3130,2965,4012,4013,4008,3994,4013,3948,3362,3204,3804,2946,3072,2966,2987,3071,2904,2949,2949
3,0,0,480,841,897,1318,2877,2882,2646,2727,2694,2570,2965,2965,2961,2959,2908,2946,2871,2835,2837,2838,2769,2464,2274,2835,2176,2438,2231
4,0,0,0,480,602,851,1284,2086,1367,1253,1704,1250,2561,2561,2565,2566,2544,2569,2482,2385,2441,2441,2378,2355,1972,2381,1793,2370,1829
5,0,0,0,0,480,602,722,585,1255,1193,1329,1199,1136,1136,1136,1133,1136,1001,1253,1191,1217,1149,1231,1052,1094,1230,1059,1137,1148
6,0,0,0,0,0,480,479,479,766,667,753,745,985,985,985,973,985,976,973,973,970,828,828,927,1087,718,959,806,1075
7,0,0,0,0,0,0,21,313,602,479,479,479,746,746,746,746,554,737,685,659,556,776,592,779,781,591,889,776,776
8,0,0,0,0,0,0,0,21,479,453,352,352,479,479,474,474,474,474,553,556,474,555,549,492,759,550,559,527,718
9,0,0,0,0,0,0,0,0,18,23,297,297,352,326,326,326,315,384,474,474,390,523,474,474,545,542,474,480,509
10,0,0,0,0,0,0,0,0,0,18,22,188,297,188,213,213,266,326,316,412,315,474,422,419,467,474,457,467,467
11,0,0,0,0,0,0,0,0,0,0,18,23,188,172,188,188,213,213,266,316,263,375,407,390,467,407,387,375,418
12,0,0,0,0,0,0,0,0,0,0,0,18,22,155,172,172,194,188,213,263,213,316,316,381,316,315,382,354,369
13,0,0,0,0,0,0,0,0,0,0,0,0,18,22,155,155,188,172,188,213,188,266,315,351,263,266,361,314,315
14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,49,134,155,172,172,172,213,213,319,243,212,314,305,251
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,23,47,155,163,117,188,172,213,213,172,307,212,213
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,22,50,155,92,172,163,172,188,163,213,186,196
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,21,50,64,155,155,163,172,134,196,172,188
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,21,50,49,153,155,155,117,172,150,172
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,21,19,47,117,49,49,163,134,117
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,18,19,47,19,23,150,49,106
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11,19,13,18,117,30,92
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,8,13,92,23,64
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,64,22,49
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,47,14,18
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,19,7,17
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,6,7
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
