,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,28022,18124,18107,18095,18095,18087,18087,18087,18087,18087,11754,11754,11754,11754,11754,11736,11736,11736,11736,11736,11736,11736,11736,11736,11736,11736,11736,11736,11736
1,3,9898,9898,9898,9898,9898,9898,9426,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8778,8778,8778,8778,8778,8778,8778,8778,8778
2,0,3,17,17,13,13,13,472,647,643,6333,6333,6333,6333,6333,6333,6331,6331,6303,6303,6303,6303,6303,6297,6297,6297,6111,6111,6111
3,0,0,3,12,12,12,8,13,472,472,643,643,643,643,643,643,643,643,643,643,643,465,465,465,465,465,465,465,465
4,0,0,0,3,4,8,7,8,13,13,472,472,472,465,465,465,465,465,465,465,465,329,329,329,314,314,314,314,314
5,0,0,0,0,3,4,5,7,8,8,13,13,10,10,10,18,18,18,28,28,28,314,314,314,176,176,186,186,186
6,0,0,0,0,0,3,4,5,7,7,8,8,8,8,8,10,10,10,18,18,18,28,28,28,153,153,176,176,176
7,0,0,0,0,0,0,3,4,5,5,7,7,7,7,7,8,8,7,10,10,10,18,18,18,28,28,153,153,153
8,0,0,0,0,0,0,0,3,4,4,5,5,5,7,6,7,7,6,7,7,7,10,10,10,18,18,28,18,17
9,0,0,0,0,0,0,0,0,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,10,9,18,17,17
10,0,0,0,0,0,0,0,0,0,3,4,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,9,11,11
11,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,7,9,9
12,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,4,4,4,5,5,6,6,6,6,7,7
13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,4,4,5,6,6,6,6,6
14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,4,5,5,6,6,6
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,4,4,5,6,6
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,4,5,5
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,4,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,2,2,2,3,3,3
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
