,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,18302,18279,18276,18247,18247,18247,17497,17497,17497,17497,17497,17497,10916,10916,10916,10916,10916,10916,10916,10916,10916,10916,10916,10220,10220,10220,10220,10220,10220
1,9723,9723,9723,9723,9244,9244,9244,9244,9244,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8816,8816,8816,8816,8816,8816,8816,8816,8771
2,0,23,23,29,479,479,750,750,750,750,750,721,6581,6581,6581,5465,5465,5465,5465,5465,5465,5465,5465,5465,5465,5465,5465,5465,5465
3,0,0,3,23,29,29,479,479,479,479,472,472,721,721,721,1116,1116,1116,930,930,930,930,930,930,930,930,930,924,924
4,0,0,0,3,23,13,29,23,23,404,404,404,472,472,472,721,721,721,721,721,721,721,721,721,721,721,696,696,696
5,0,0,0,0,3,10,13,13,10,23,23,29,404,404,400,472,472,472,472,472,472,472,465,696,696,696,535,535,535
6,0,0,0,0,0,3,10,10,10,10,10,23,29,29,29,400,400,400,400,400,400,400,400,465,465,465,465,465,465
7,0,0,0,0,0,0,3,6,6,10,10,10,23,23,23,29,29,29,186,186,186,186,186,400,400,271,271,271,271
8,0,0,0,0,0,0,0,3,3,6,7,10,10,10,10,23,18,18,29,21,24,24,24,186,184,184,186,186,186
9,0,0,0,0,0,0,0,0,3,3,6,7,10,7,7,10,10,7,18,18,21,21,21,24,24,129,184,184,184
10,0,0,0,0,0,0,0,0,0,3,3,6,7,6,6,7,7,7,7,8,18,18,18,21,21,24,129,129,129
11,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,6,6,6,7,7,8,8,8,18,18,21,24,24,45
12,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,6,6,6,6,7,7,7,7,8,8,18,21,21,24
13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,5,6,6,7,7,7,7,7,8,18,18,21
14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,6,6,7,7,7,7,8,8,18
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,5,6,7,7,7,7,7,8
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,5,5,6,6,7,7,7,7
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,5,5,5,6,7,7,7
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,5,5,5,6,6,7
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,5,6,6
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,5,6
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,5,5
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,5
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
