,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,18126,11760,11760,11760,10437,10437,10437,9067,9067,9067,9067,9067,9067,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564,8564
1,9899,9899,9250,8778,8778,8778,8778,8778,8778,8778,8778,8564,8564,5254,5254,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186
2,0,6366,6366,6366,6366,5619,5619,5619,5619,2966,2941,2941,2941,3813,3813,3813,3813,3813,3813,3813,3813,3813,2941,2941,2941,2941,2731,2731,2707
3,0,0,649,649,1323,1323,1306,1370,1370,2653,2653,2653,2493,2941,2941,2941,2941,2941,2941,2941,2941,2941,2707,2707,2707,2707,2707,2707,2493
4,0,0,0,472,649,747,747,1306,1306,1370,1370,1370,1370,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2409
5,0,0,0,0,472,649,649,747,747,1306,1306,1306,1306,1370,1370,1370,1370,1370,1370,1252,1252,1252,1252,1252,1252,1106,1106,1106,1106
6,0,0,0,0,0,472,472,649,472,747,747,747,747,1306,1306,1306,1306,1040,1040,1040,1040,1040,1106,1106,1106,1040,1040,901,901
7,0,0,0,0,0,0,17,472,333,472,472,472,472,747,747,747,747,747,521,521,521,521,1040,1040,1040,901,901,648,648
8,0,0,0,0,0,0,0,17,316,333,333,333,333,472,472,472,472,472,472,472,472,472,521,521,521,521,521,521,521
9,0,0,0,0,0,0,0,0,17,316,316,316,316,333,316,316,316,316,316,316,316,316,472,465,465,465,465,465,465
10,0,0,0,0,0,0,0,0,0,17,25,214,214,316,214,214,214,266,266,266,266,266,316,316,316,351,351,392,392
11,0,0,0,0,0,0,0,0,0,0,17,25,160,214,176,176,176,214,226,226,226,226,266,266,266,316,316,351,351
12,0,0,0,0,0,0,0,0,0,0,0,17,25,160,160,160,160,176,214,214,214,214,226,226,226,266,266,316,322
13,0,0,0,0,0,0,0,0,0,0,0,0,17,25,157,157,157,160,176,176,176,176,214,214,214,226,226,266,316
14,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,68,68,157,160,160,160,160,176,176,176,214,214,226,266
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,22,68,157,157,157,157,160,160,160,176,210,214,226
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,22,68,118,118,118,157,157,133,160,176,210,214
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,22,68,62,62,118,118,118,133,160,176,210
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,22,22,22,62,62,62,118,133,160,176
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,17,13,22,22,24,62,118,133,160
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,13,13,22,24,62,118,133
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,13,22,24,62,118
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,13,22,24,62
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,13,22,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,13,22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,13
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
