,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,28022,28019,27907,27907,27489,26995,26995,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26422,26422,26203,26203,26203
1,3,3,112,110,418,494,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,471,471,524,524,524,524,524
2,0,3,3,3,110,418,418,418,418,418,418,418,418,418,418,418,261,261,253,253,253,253,253,253,471,471,471,471,471
3,0,0,3,3,3,110,110,110,110,93,93,93,93,93,93,93,157,157,157,157,155,155,155,155,253,253,253,253,253
4,0,0,0,2,3,3,19,49,39,39,39,37,37,37,37,37,93,93,93,69,69,69,69,68,155,155,219,219,219
5,0,0,0,0,2,3,3,19,19,19,19,19,19,19,19,16,37,37,37,37,37,33,33,33,68,68,155,155,155
6,0,0,0,0,0,2,3,3,10,17,17,17,17,16,16,13,16,16,16,24,24,24,24,24,33,33,68,45,45
7,0,0,0,0,0,0,2,3,3,10,10,10,9,9,9,9,13,11,11,16,16,16,16,16,24,24,33,33,26
8,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,6,9,9,9,11,11,11,11,11,16,16,24,24,24
9,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2,3,6,6,8,9,9,9,9,9,11,11,16,23,23
10,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,3,3,6,8,8,8,8,8,9,9,11,16,16
11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,6,6,6,6,6,8,8,9,11,11
12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,4,4,6,6,8,9,9
13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,4,4,4,6,8,8
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,6,7
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,4,4,6
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4,4
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
