,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,504,27521,27409,27409,27409,26596,26596,26561,26561,26561,26561,26561,26414,26414,26414,26414,26414,26414,26414,26135,26135,26135,26135,26135,26135,26135,26135,26135,26135
1,27521,491,491,491,482,813,813,813,813,560,560,560,560,552,552,552,552,552,552,552,552,552,552,552,552,552,552,465,465
2,0,13,112,110,110,482,482,482,482,482,469,469,469,469,469,469,469,469,469,469,469,469,469,469,465,465,465,407,407
3,0,0,13,13,13,110,110,110,91,253,253,253,253,253,253,253,253,253,253,279,279,279,279,279,279,279,279,279,279
4,0,0,0,2,9,13,10,35,35,91,91,91,147,147,147,147,147,147,147,253,207,207,207,207,207,207,207,207,207
5,0,0,0,0,2,9,9,10,19,35,35,31,91,91,57,57,57,57,57,147,147,147,147,147,147,147,147,147,147
6,0,0,0,0,0,2,3,9,10,19,19,19,31,31,34,34,34,34,34,57,57,57,57,57,57,57,57,145,145
7,0,0,0,0,0,0,2,3,9,10,13,13,19,19,31,31,31,31,31,34,46,46,46,46,46,46,46,57,57
8,0,0,0,0,0,0,0,2,3,9,10,10,13,13,19,19,19,18,18,31,34,34,34,34,34,33,33,46,46
9,0,0,0,0,0,0,0,0,2,3,9,9,10,10,13,13,13,13,13,18,31,31,31,20,20,20,20,33,33
10,0,0,0,0,0,0,0,0,0,2,3,4,9,9,10,10,9,9,9,13,18,18,18,18,18,18,18,20,20
11,0,0,0,0,0,0,0,0,0,0,2,3,4,8,9,8,8,8,8,9,13,11,11,11,11,11,11,18,18
12,0,0,0,0,0,0,0,0,0,0,0,2,3,4,8,6,6,6,6,8,9,9,9,11,11,11,11,11,11
13,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,6,8,8,8,9,9,9,9,11,9
14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,6,6,6,8,8,8,8,9,8
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,6,6,6,6,8,7
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,3,3,3,4,4,4,4,6,6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,2,3,4,4,3,4,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,2,3,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
