,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,27654,27157,26474,24311,24311,24311,24311,24311,22084,22084,22084,22084,22084,22084,22084,22084,21446,21446,21446,21446,21446,21446,21446,21446,21446,21446,21446,20755,20755
1,371,497,683,2163,2163,1900,1900,1900,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227,1332,1332,1332,1332,1332,1332,1332,1332,1332
2,0,371,497,683,683,683,683,532,1900,1900,1545,1545,1545,1545,1545,787,787,787,787,758,895,895,895,895,895,895,895,895,895
3,0,0,371,497,497,497,480,480,532,532,532,532,532,480,480,758,758,758,758,638,758,758,758,758,758,758,758,758,758
4,0,0,0,371,253,263,263,263,480,480,480,480,480,400,400,480,638,638,638,611,638,638,638,638,638,638,638,691,691
5,0,0,0,0,118,253,253,253,263,253,355,355,355,355,355,400,480,480,480,480,611,611,611,611,611,611,611,638,638
6,0,0,0,0,0,118,118,151,253,211,253,253,253,253,253,355,400,400,400,400,480,480,480,467,467,467,467,611,611
7,0,0,0,0,0,0,17,118,151,151,211,211,211,211,211,253,355,355,355,355,400,400,355,355,355,355,355,467,467
8,0,0,0,0,0,0,0,17,118,118,151,151,151,151,151,211,253,253,253,253,355,355,318,318,318,318,318,355,318
9,0,0,0,0,0,0,0,0,17,52,118,118,79,132,132,151,211,211,211,211,253,211,211,211,211,211,176,318,214
10,0,0,0,0,0,0,0,0,0,17,52,49,49,79,77,132,151,151,151,176,211,176,176,176,176,176,164,176,176
11,0,0,0,0,0,0,0,0,0,0,17,17,39,49,49,77,132,132,132,151,176,164,164,164,164,164,159,164,164
12,0,0,0,0,0,0,0,0,0,0,0,3,17,39,39,49,77,55,55,132,151,151,151,151,151,151,151,159,159
13,0,0,0,0,0,0,0,0,0,0,0,0,3,17,17,39,49,49,39,55,132,132,132,132,132,132,132,151,151
14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,39,39,39,39,55,89,89,89,89,82,82,132,141
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17,22,22,39,39,55,82,82,82,81,81,82,132
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17,17,22,39,39,55,55,55,55,55,81,82
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,17,22,39,39,39,39,39,52,55,81
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,17,22,39,39,39,39,39,52,55
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,17,22,22,22,22,39,39,52
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,17,17,14,14,22,39,39
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,13,13,13,14,22,39
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,10,10,13,14,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,10,13,14
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,10,13
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,10
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
